,0
15,"Appetizer Gado-gado salad with peanut sauce and fresh local vegetables, dish price of 25€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
16,"Soup Soto Ayam, a traditional Indonesian chicken soup with lemongrass, turmeric, and glass noodles, dish price of 20€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
17,"Fish Ikan Bakar, grilled Jimbaran Bay fish with sambal matah and steamed rice, dish price of 45€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
18,"Meat Babi Guling, Balinese roast suckling pig with urap vegetables and lawar salad, dish price of 55€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
19,"Dessert Dadar Gulung, coconut crepes with palm sugar syrup and vanilla ice cream, dish price of 20€, Four Seasons Resort, Bali at Jimbaran Bay, restaurant Taman Sari with Chef Made Agus, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
20,"Amuse-Bouche Tahitian-style poisson cru with coconut milk and lime, dish price of 20€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
21,"Appetizer Grilled octopus with mango salsa and vanilla-infused olive oil, dish price of 35€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
22,"Soup Chilled cucumber and pineapple soup with mint and rum-infused yogurt, dish price of 20€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
23,"Fish Pan-seared mahi-mahi with sweet potato purée, sautéed bok choy, and passionfruit beurre blanc, dish price of 50€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
24,"Meat Grilled New Zealand lamb chops with taro root gratin, broccolini, and rosemary jus, dish price of 60€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
25,"Dessert Vanilla bean panna cotta with poached papaya and coconut tuile, dish price of 20€, Four Seasons Resort, Bora Bora, restaurant Le Lagon with Chef Matthieu Guérin, menu price of 205€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
26,"Amuse-Bouche Purple corn crisp with avocado mousse and trout ceviche, dish price of 15€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
27,"Appetizer Peruvian causa with layers of potato, aji amarillo, and crab salad, dish price of 25€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
28,"Soup Quinoa and Andean cheese chowder with roasted corn and huacatay, dish price of 20€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
29,"Fish Amazonian paiche with aji panca glaze, yucca purée, and sautéed kale, dish price of 45€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
30,"Meat Alpaca tenderloin with Peruvian corn succotash and rocoto pepper sauce, dish price of 55€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
31,"Dessert Lucuma mousse with maracuya coulis and chocolate crumble, dish price of 20€, Four Seasons Resort, Sacred Valley, Peru, restaurant Inti Raymi with Chef Alejandro Sánchez, menu price of 180€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
32,"Amuse-Bouche Biltong-spiced beef carpaccio with microgreens and lemon vinaigrette, dish price of 20€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
33,"Appetizer Grilled tiger prawns with mango and avocado salad, and a chili-lime dressing, dish price of 30€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
34,"Soup Roasted butternut squash soup with coconut cream, pumpkin seeds, and coriander, dish price of 20€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
35,"Fish Pan-seared Nile perch with okra, tomatoes, and an aromatic tamarind sauce, dish price of 45€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
36,"Meat Safari-spiced ostrich fillet with sweet potato mash, sautéed spinach, and red wine reduction, dish price of 55€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
37,"Dessert Amarula-infused chocolate fondant with raspberry coulis and vanilla ice cream, dish price of 25€, Four Seasons Safari Lodge, Serengeti, Tanzania, restaurant Majani with Chef Amani Sudi, menu price of 195€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
38,"Amuse-Bouche Crispy polenta with black truffle and Parmigiano-Reggiano foam, dish price of 25€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
39,"Appetizer Seared scallops with artichoke purée, crispy pancetta, and lemon-infused olive oil, dish price of 45€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
40,"Pasta Homemade squid ink tagliolini with lobster, cherry tomatoes, and basil, dish price of 55€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
41,"Fish Pan-seared turbot with fennel confit, olives, and a saffron-orange emulsion, dish price of 65€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
42,"Meat Veal tenderloin with porcini mushrooms, truffled potato purée, and Barolo reduction, dish price of 75€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
43,"Dessert Tiramisù semifreddo with espresso sauce and cocoa nibs, dish price of 30€, Four Seasons Hotel, Venice, restaurant La Serenissima with Chef Giuseppe Di Martino, menu price of 295€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
44,"Amuse-Bouche Mini raspberry macarons with rose petal cream, dish price of 15€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
45,"Appetizer Exotic fruit carpaccio with lime zest and mint-infused syrup, dish price of 25€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
46,"Soufflé Grand Marnier soufflé with candied orange peel, dish price of 35€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
47,"Tarte Tarte Tatin with caramelized apples, puff pastry, and vanilla crème fraîche, dish price of 30€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
48,"Mousse Dark chocolate mousse with hazelnut praline and gold leaf, dish price of 30€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
49,"Petit Fours Assorted French petit fours: éclairs, madeleines, and financiers, dish price of 25€, Four Seasons Hotel George V, Paris, restaurant Le Paradis des Douceurs with Chef Juliette Dubois, menu price of 160€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
50,"Amuse-Bouche Beetroot-cured salmon with horseradish cream and microgreens, dish price of 20€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
51,"Appetizer Seared foie gras with spiced pear chutney and toasted brioche, dish price of 40€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
52,"Soup Creamy wild mushroom soup with crispy bacon and chives, dish price of 25€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
53,"Pasta Savoyard-style gnocchi with Reblochon cheese, lardons, and caramelized onions, dish price of 35€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
54,"Meat Roasted venison loin with parsnip purée, Brussels sprouts, and juniper berry sauce, dish price of 55€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
55,"Dessert Warm chocolate fondant with raspberry coulis and pistachio ice cream, dish price of 25€, Four Seasons Resort, French Alps, restaurant L'Étoile des Neiges with Chef Élodie Moreau, menu price of 200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
56,"Amuse-Bouche Crispy reindeer moss with mushroom powder and fermented lingonberries, dish price of 50€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
57,"Appetizer Smoked eel with pickled cucumber, horseradish cream, and dill oil, dish price of 80€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
58,"Fish Roasted Arctic char with beetroot purée, preserved lemon, and sea buckthorn, dish price of 100€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
59,"Bird Wild duck breast with caramelized celeriac, blackcurrants, and a juniper berry jus, dish price of 120€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
60,"Meat Elk tartare with smoked egg yolk, caper berries, and foraged herbs, dish price of 110€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
61,"Cheese Selection of Nordic cheeses with Finnish cloudberry jam and crisp rye bread, dish price of 60€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
62,"Dessert Birch sap sorbet with wild blueberries and spruce needle meringue, dish price of 80€, Four Seasons Hotel, Helsinki, Finland, restaurant Nordic Essence with Chef Akseli Korhonen, menu price of 600€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
63,"Amuse-Bouche Miniature potato pancake with smoked salmon and horseradish cream, dish price of 20€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
64,"Appetizer Pan-seared duck liver with apple compote, brioche, and aged balsamic, dish price of 45€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
65,"Soup Creamy white asparagus soup with chervil and toasted almonds, dish price of 30€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
66,"Fish Braised monkfish with cabbage, bacon, and Riesling cream sauce, dish price of 60€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
67,"Meat Venison medallions with red cabbage, spätzle, and lingonberry sauce, dish price of 70€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
68,"Dessert Black Forest cake with cherry compote and kirsch-infused whipped cream, dish price of 35€, Four Seasons Hotel, Berlin, Germany, restaurant Deutscher Geschmack with Chef Lukas Müller, menu price of 260€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
69,"Amuse-Bouche Martian soil-cultivated microgreen salad with synthesized honey-mustard vinaigrette, dish price of 200€, Four Seasons Hotel, Mars Base One, restaurant The Red Planet Bistro with Chef Elon Ray, menu price of 1650€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
70,"Appetizer Lab-grown shrimp cocktail with spicy tomato gel and hydroponic dill, dish price of 300€, Four Seasons Hotel, Mars Base One, restaurant The Red Planet Bistro with Chef Elon Ray, menu price of 1650€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
71,"Soup Cream of Martian potato soup with cultured sour cream and bio-printed chives, dish price of 250€, Four Seasons Hotel, Mars Base One, restaurant The Red Planet Bistro with Chef Elon Ray, menu price of 1650€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
72,"Main Course Cellular agriculture steak with Mars-grown mushroom sauce, hydroponic vegetables, and red dust-infused demi-glace, dish price of 500€, Four Seasons Hotel, Mars Base One, restaurant The Red Planet Bistro with Chef Elon Ray, menu price of 1650€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
73,"Dessert Galactic chocolate mousse with edible holographic fruit garnish, dish price of 400€, Four Seasons Hotel, Mars Base One, restaurant The Red Planet Bistro with Chef Elon Ray, menu price of 1650€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
74,"Amuse-Bouche Heirloom tomato tartare with basil microgreens and pine nut 'Parmesan', dish price of 150€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
75,"Appetizer Wild mushroom carpaccio with black truffle vinaigrette and vegan 'foie gras', dish price of 250€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
76,"Soup Chilled sweet corn velouté with avocado mousse and chipotle-infused oil, dish price of 200€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
77,"Pasta House-made artichoke and cashew ricotta tortellini with sun-dried tomato sauce and crispy sage, dish price of 300€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
78,"Main Course Pan-seared black garlic and porcini-crusted king oyster mushroom 'scallops' with saffron-infused cauliflower purée and microgreens, dish price of 400€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
79,"Dessert Triple-layered dark chocolate and hazelnut mousse cake with edible gold leaf and raspberry coulis, dish price of 200€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
80,"Petit Fours Assorted vegan petit fours: passion fruit truffles, matcha macarons, and raspberry-filled chocolates, dish price of 200€, Four Seasons Hotel, New York City, restaurant Verdant Elegance with Chef Isabella Green, menu price of 1200€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
81,"Appetizer Grilled octopus with cherry tomatoes, kalamata olives, and lemon-garlic dressing, dish price of 60€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
82,"Fish Charcoal-grilled red snapper with tamarind glaze, mango salsa, and coconut rice, dish price of 90€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
83,"Seafood Mixed seafood grill with jumbo prawns, calamari, and scallops, served with a spicy tomato sauce, dish price of 110€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
84,"Meat Grilled lamb chops with rosemary marinade, ratatouille, and mint yogurt, dish price of 120€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
85,"Dessert Coconut panna cotta with passion fruit coulis and toasted coconut flakes, dish price of 30€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
86,"Dessert Grilled pineapple with rum caramel sauce and vanilla ice cream, dish price of 30€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
87,"Dessert Warm chocolate lava cake with coconut ice cream and macadamia nuts, dish price of 30€, Four Seasons Resort Maldives at Kuda Huraa, restaurant Fisherman's Grill with Chef Ahmed Naseer, menu price of 470€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
88,"Amuse-Bouche Blini with smoked salmon and Ossetra caviar, dish price of 20€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
89,"Appetizer Beetroot and vodka-cured sturgeon with horseradish cream, dish price of 35€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
90,"Soup Traditional Russian borscht with sour cream and pumpernickel bread, dish price of 30€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
91,"Fish Pan-fried halibut with celeriac puree, wilted spinach, and dill beurre blanc, dish price of 55€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
92,"Meat Venison medallions with wild mushrooms, truffled potato gratin, and juniper berry sauce, dish price of 60€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
93,"Cheese Selection of Russian artisanal cheeses with lingonberry jam and rye crackers, dish price of 30€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
94,"Dessert Honey cake with sour cream frosting and raspberry coulis, dish price of 25€, Four Seasons Hotel Lion Palace, St. Petersburg, Russia, restaurant Imperial Caviar with Chef Dimitri Petrov, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
95,"Amuse-Bouche Dates stuffed with goat cheese and crushed pistachios, dish price of 20€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
96,"Appetizer Pan-seared scallops with saffron and orange-infused cauliflower purée, dish price of 40€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
97,"Soup Creamy pumpkin and coconut soup with sumac-spiced croutons, dish price of 25€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
98,"Fish Seared sea bass with chickpea and spinach stew, pomegranate reduction, dish price of 55€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
99,"Meat Slow-cooked lamb shank with apricot and almond couscous, harissa jus, dish price of 60€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
100,"Cheese Selection of Middle Eastern cheeses with fig jam and za'atar flatbread, dish price of 30€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
101,"Dessert Rosewater and cardamom panna cotta with honeyed pistachio crumble, dish price of 25€, Four Seasons Hotel Utopia, Dubai, United Arab Emirates, restaurant Alcazar with Chef Farid Al-Rashid, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
102,"Amuse-Bouche Crispy Icelandic seaweed with foraged herbs and pickled berries, dish price of 20€, Four Seasons Hotel Aurora, Reykjavik, Iceland, restaurant Nordic Haven with Chef Sigurjón Ólafsson, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
103,"Appetizer Cured Arctic char with dill cream, cucumber, and rye crisps, dish price of 40€, Four Seasons Hotel Aurora, Reykjavik, Iceland, restaurant Nordic Haven with Chef Sigurjón Ólafsson, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
104,"Soup Wild mushroom and barley soup with smoked skyr and toasted hazelnuts, dish price of 25€, Four Seasons Hotel Aurora, Reykjavik, Iceland, restaurant Nordic Haven with Chef Sigurjón Ólafsson, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
105,"Fish Pan-roasted cod with foraged seaweed, leeks, and mussel emulsion, dish price of 55€, Four Seasons Hotel Aurora, Reykjavik, Iceland, restaurant Nordic Haven with Chef Sigurjón Ólafsson, menu price of 255€, 4k food photography, chefs table money shot, by David Loftus and Helene Dujardin"
